title,genres,actors,directors,synopsis,rating
Frozen,"Animation, Family, Adventure, Fantasy","Kristen Bell, Idina Menzel, Jonathan Groff","Chris Buck, Jennifer Lee","Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",7.2
The Matrix,"Action, Science Fiction","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Lana Wachowski, Lilly Wachowski","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",8.2
Distant,"Science Fiction, Comedy, Action","Anthony Ramos, Naomi Scott, Kristofer Hivju","Josh Gordon, Will Speck","After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.",5.9
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action","Elijah Wood, Ian McKellen, Viggo Mortensen",Peter Jackson,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",8.418
Dragonkeeper,"Action, Adventure, Animation, Family, Fantasy","Lucía Pérez, Mario Gas, Fernando Castro","Jian-Ping Li, Salvador Simó","Set in Han Imperial China, the plot follows the adventures of enslaved girl Ping with ancient dragon Long Danzi. Dragons had been banished from the kingdom. Ping, an orphan, finds one of the last remaining dragon eggs. Palace guards force Ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction. Ping discovers that she is a true Dragonkeeper.",7.63
Queer,"Drama, Romance","Daniel Craig, Drew Starkey, Jason Schwartzman",Luca Guadagnino,"In 1950s Mexico City, William Lee, an American expat in his late forties, leads a solitary life amidst a small American community. However, the arrival in town of Eugene Allerton, a young student, stirs William into finally establishing a meaningful connection with someone.",7.361
Classified,"Action, Thriller","Aaron Eckhart, Tim Roth, Abigail Breslin",Roel Reiné,"Operating alone in the field for more than 20 years, a CIA hitman uses the ""Help Wanted"" section of the newspapers to get his orders from the Agency. His long-lost daughter, now a UK MI6 analyst, tracks him down to deliver shocking news: his CIA boss has been dead for years and the division long since shut down. Together, they set out to discover whose orders he's been executing.",5.8
The Maze Runner,"Action, Mystery, Science Fiction, Thriller","Dylan O'Brien, Kaya Scodelario, Aml Ameen",Wes Ball,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",7.2
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action","Elijah Wood, Ian McKellen, Viggo Mortensen",Peter Jackson,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",8.483
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Kemp Powers, Justin K. Thompson, Joaquim Dos Santos","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",8.354
Twisters,"Thriller, Action","Daisy Edgar-Jones, Glen Powell, Anthony Ramos",Lee Isaac Chung,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",6.893
Gabriel Iglesias: Legend of Fluffy,Comedy,Gabriel Iglesias,Manny Rodriguez,"From breaking stereotypes to home break-ins, Gabriel Iglesias brings comedy to life's unexpected twists in this stand-up special.",3.2
Borderlands,"Action, Science Fiction, Comedy","Cate Blanchett, Kevin Hart, Edgar Ramírez",Eli Roth,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",5.7
Prey,"Action, Thriller, Horror","Ryan Phillippe, Emile Hirsch, Mena Suvari",Mukunda Michael Dewil,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,6.2
The Batman,"Crime, Mystery, Thriller","Robert Pattinson, Zoë Kravitz, Jeffrey Wright",Matt Reeves,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",7.661
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint",David Yates,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",7.7
The Dark Knight,"Drama, Action, Crime, Thriller","Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",8.518
Avatar: The Way of Water,"Science Fiction, Adventure, Action","Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",7.614
The Wolf of Wall Street,"Crime, Drama, Comedy","Leonardo DiCaprio, Jonah Hill, Margot Robbie",Martin Scorsese,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",8.032
Elemental,"Animation, Comedy, Family, Fantasy, Romance","Leah Lewis, Mamoudou Athie, Ronnie del Carmen",Peter Sohn,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",7.623
Transmorphers: Mech Beasts,"Action, Science Fiction","Tom Arnold, Tania Fox, Jolene Anderson",Michael Su,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",5.4
Inception,"Action, Science Fiction, Adventure","Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",Christopher Nolan,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8.37
